exp,execution,benchmark,size_of_data,schedule,chunk_size,num_threads,version,num_threads,N,ORIG,OMP
experimento,1,vectoradd,1048576,STATIC,16,1,OMP,1,1048576,8148708,33565382
experimento,2,vectoradd,1048576,STATIC,16,1,OMP,1,1048576,7768481,30707079
experimento,3,vectoradd,1048576,STATIC,16,1,OMP,1,1048576,8734431,27349830
experimento,4,vectoradd,1048576,STATIC,16,1,OMP,1,1048576,8960452,29171700
experimento,5,vectoradd,1048576,STATIC,16,1,OMP,1,1048576,9009963,31723866
experimento,6,vectoradd,1048576,STATIC,16,1,OMP,1,1048576,8273873,26549034
experimento,7,vectoradd,1048576,STATIC,16,1,OMP,1,1048576,9001972,27846142
experimento,8,vectoradd,1048576,STATIC,16,1,OMP,1,1048576,5643511,27396987
experimento,9,vectoradd,1048576,STATIC,16,1,OMP,1,1048576,5657649,26186975
experimento,10,vectoradd,1048576,STATIC,16,1,OMP,1,1048576,7407071,24813936
experimento,1,vectoradd,1048576,STATIC,32,1,OMP,1,1048576,6692937,25397926
experimento,2,vectoradd,1048576,STATIC,32,1,OMP,1,1048576,7696669,26015431
experimento,3,vectoradd,1048576,STATIC,32,1,OMP,1,1048576,7218359,26345322
experimento,4,vectoradd,1048576,STATIC,32,1,OMP,1,1048576,8962685,25811220
experimento,5,vectoradd,1048576,STATIC,32,1,OMP,1,1048576,8371989,25653130
experimento,6,vectoradd,1048576,STATIC,32,1,OMP,1,1048576,6400043,25860528
experimento,7,vectoradd,1048576,STATIC,32,1,OMP,1,1048576,9145350,26131509
experimento,8,vectoradd,1048576,STATIC,32,1,OMP,1,1048576,7868423,25620757
experimento,9,vectoradd,1048576,STATIC,32,1,OMP,1,1048576,8749313,26246072
experimento,10,vectoradd,1048576,STATIC,32,1,OMP,1,1048576,8575170,32528106
experimento,1,vectoradd,1048576,STATIC,64,1,OMP,1,1048576,8875719,28748735
experimento,2,vectoradd,1048576,STATIC,64,1,OMP,1,1048576,8336274,27348802
experimento,3,vectoradd,1048576,STATIC,64,1,OMP,1,1048576,8018982,26007281
experimento,4,vectoradd,1048576,STATIC,64,1,OMP,1,1048576,8399495,27539720
experimento,5,vectoradd,1048576,STATIC,64,1,OMP,1,1048576,6889100,25883685
experimento,6,vectoradd,1048576,STATIC,64,1,OMP,1,1048576,8769523,26108263
experimento,7,vectoradd,1048576,STATIC,64,1,OMP,1,1048576,8580698,27175080
experimento,8,vectoradd,1048576,STATIC,64,1,OMP,1,1048576,7827778,26218582
experimento,9,vectoradd,1048576,STATIC,64,1,OMP,1,1048576,7730800,28293360
experimento,10,vectoradd,1048576,STATIC,64,1,OMP,1,1048576,9189562,28008124
experimento,1,vectoradd,1048576,STATIC,128,1,OMP,1,1048576,8101644,26301816
experimento,2,vectoradd,1048576,STATIC,128,1,OMP,1,1048576,7251832,27352538
experimento,3,vectoradd,1048576,STATIC,128,1,OMP,1,1048576,8585464,33736737
experimento,4,vectoradd,1048576,STATIC,128,1,OMP,1,1048576,8235562,30810768
experimento,5,vectoradd,1048576,STATIC,128,1,OMP,1,1048576,8263829,26318652
experimento,6,vectoradd,1048576,STATIC,128,1,OMP,1,1048576,8452301,25373257
experimento,7,vectoradd,1048576,STATIC,128,1,OMP,1,1048576,7466623,27828178
experimento,8,vectoradd,1048576,STATIC,128,1,OMP,1,1048576,6301745,25972361
experimento,9,vectoradd,1048576,STATIC,128,1,OMP,1,1048576,8696547,25516078
experimento,10,vectoradd,1048576,STATIC,128,1,OMP,1,1048576,7272839,25218830
experimento,1,vectoradd,1048576,STATIC,256,1,OMP,1,1048576,9238114,25230902
experimento,2,vectoradd,1048576,STATIC,256,1,OMP,1,1048576,8009318,26006743
experimento,3,vectoradd,1048576,STATIC,256,1,OMP,1,1048576,7224186,25247809
experimento,4,vectoradd,1048576,STATIC,256,1,OMP,1,1048576,8810181,25829937
experimento,5,vectoradd,1048576,STATIC,256,1,OMP,1,1048576,8032307,26709357
experimento,6,vectoradd,1048576,STATIC,256,1,OMP,1,1048576,6474639,26267731
experimento,7,vectoradd,1048576,STATIC,256,1,OMP,1,1048576,9023093,27305572
experimento,8,vectoradd,1048576,STATIC,256,1,OMP,1,1048576,9067235,25353102
experimento,9,vectoradd,1048576,STATIC,256,1,OMP,1,1048576,7114699,27822027
experimento,10,vectoradd,1048576,STATIC,256,1,OMP,1,1048576,8525460,34025442
experimento,1,vectoradd,1048576,DYNAMIC,16,1,OMP,1,1048576,9763898,7265139
experimento,2,vectoradd,1048576,DYNAMIC,16,1,OMP,1,1048576,6258743,6817788
experimento,3,vectoradd,1048576,DYNAMIC,16,1,OMP,1,1048576,8120082,8346927
experimento,4,vectoradd,1048576,DYNAMIC,16,1,OMP,1,1048576,8713518,8554538
experimento,5,vectoradd,1048576,DYNAMIC,16,1,OMP,1,1048576,6783390,8242254
experimento,6,vectoradd,1048576,DYNAMIC,16,1,OMP,1,1048576,7742270,8345883
experimento,7,vectoradd,1048576,DYNAMIC,16,1,OMP,1,1048576,6466945,8174293
experimento,8,vectoradd,1048576,DYNAMIC,16,1,OMP,1,1048576,8027896,7522412
experimento,9,vectoradd,1048576,DYNAMIC,16,1,OMP,1,1048576,6222355,9257017
